tweets
@washingtoen Kaya lu
Gebyar Budaya Hari Santri Nasional 2017 di Kabupaten Jepara @nahdlatululama @WartaNU @kabarpesantren @unisnujepara\xe2\x80\xa6 https://t.co/HnSwjjjtXR
"@detikcom Jujur, bergantung pada paketan data internet\xf0\x9f\x98\xad"
@IHateJDollarz What
@Alvvin29 @IndosatCare Hahahahaha.. Bener banget
Mas Agus bikin lagu \xf0\x9f\x98\x94
Punya temen yang nggak suka liat temennya sukses ya? @nugrahenita @akuuchelseaa
@AldyFLahengko Udah tua blay
RT @Pjt_semarang: https://t.co/qFDaV2WPXe
RT @dns_dini: #HappyBirthday\xe9\x9e\xa0\xe5\xa9\xa7\xe7\xa5\x8e0618 #kiku semoga bisa nomer 1 di ssk tahun ini amin \nwish you all the best https://t.co/dslKXQeueE
sat ap beibe ... https://t.co/0MjNBxxwgS
Kamera hp @xslfnx pernah bagus. https://t.co/WpCL8xAExy
Loh teke ceh piye to  yaampun\n:((
"Tak taula, aku senang lah cakap Malay ni."
Sesiapa yang mempunyai kebolehan akan berjumpa landasan yang tepat.
Me toooo \xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a https://t.co/ypNrcjzqER
Davies gak main. so greaaaattttt for you all manager
RT @MamahPitri69: Tante lagi \xf0\x9f\x98\x8d\xf0\x9f\x98\x98\n=&gt; https://t.co/cCf8ATsVDB https://t.co/Ckeq9BoD3j
RT @ely_susianti: Presiden @jokowi dalam kunjungan ke Mandalika NTB.. pesona alam Indonesia yg sangat cantik.. https://t.co/oAasigVgj9
RT @Pjt_semarang: https://t.co/61Kcw5RY5Q
RT @Pjt_semarang: https://t.co/sqskdnzDQw
THANKS KOMPAS TV !!! https://t.co/yxTENxB5Zo
"Nunggu Marcus Gideon dan Kevin Sanjaya, sampe lupa kalo besok Senin!! Gak peduli, nonton badminton dulh di @KompasTV #DenmarkOpenKompasTv \xf0\x9f\x98\x8e"
@betarriza aha! well said dear.
RT @Pjt_semarang: https://t.co/uTepjO7yo6
Earned 1 PSN trophy (1 bronze) in Digimon Story: Cyber Sleuth - https://t.co/phe1WDsI7x
Terus pak hasan ngakak baru ngasih plester \xf0\x9f\x98\x8f
"""abis ini gue dipecat nih"" https://t.co/e251jKN4nj"
